,lambda,phi,weights
29,14.5,0.81588030677792,"[1.50658039e-01 3.75108944e-09 2.25741593e-09 7.30868534e-10
 5.64755623e-10 2.96758494e-08 3.72559411e-09 2.57880434e-09
 5.72151417e-10 7.94351076e-10 2.06098453e-08 2.34036332e-09
 1.06728034e-09 6.38726737e-10 5.33696398e-10 8.49341878e-01
 9.44120110e-09 2.21130571e-09 8.90664747e-10 4.67277178e-10]"
30,15.0,0.8158802485444242,"[1.50658035e-01 6.93300628e-09 4.20051933e-09 1.29777595e-09
 1.09665556e-09 4.96001262e-08 6.93209128e-09 4.66148210e-09
 1.06436413e-09 1.32510739e-09 3.53452654e-08 4.41464096e-09
 1.82952317e-09 1.18718903e-09 1.12782149e-09 8.49341820e-01
 1.69375151e-08 4.01021034e-09 1.67505114e-09 8.28372970e-10]"
31,15.5,0.8158803577112781,"[1.50658038e-01 1.35165528e-09 7.97626410e-10 2.27283157e-10
 2.17710552e-10 1.32000246e-08 1.35612818e-09 9.14860473e-10
 2.42746214e-10 2.09951551e-10 7.33772929e-09 8.49132261e-10
 3.41817768e-10 2.26688075e-10 2.17970353e-10 8.49341929e-01
 3.44894215e-09 7.79930106e-10 3.05442898e-10 1.70633562e-10]"
32,16.0,0.8158802362703961,"[1.50658031e-01 7.56511724e-09 4.48368750e-09 1.26741955e-09
 1.16442732e-09 5.87786025e-08 7.39628660e-09 5.05874052e-09
 1.34687936e-09 1.16693274e-09 3.81722641e-08 4.80791384e-09
 1.88816707e-09 1.28233248e-09 9.72921366e-10 8.49341808e-01
 1.84756824e-08 4.40466767e-09 1.66025042e-09 9.60607698e-10]"
33,16.5,0.815880375834212,"[1.50658038e-01 6.32152252e-10 3.73837008e-10 1.09274987e-10
 1.01535955e-10 5.68376966e-09 6.30443016e-10 4.23783902e-10
 1.16032220e-10 9.88025471e-11 3.28295729e-09 4.03883183e-10
 1.58354284e-10 1.06914955e-10 8.15247888e-11 8.49341948e-01
 1.58290397e-09 3.68984555e-10 1.39250330e-10 7.61139038e-11]"
34,17.0,0.8158803709840953,"[1.50658038e-01 8.87263760e-10 5.27881761e-10 1.56597901e-10
 1.44242596e-10 7.58342411e-09 8.89410112e-10 5.95125535e-10
 1.66154203e-10 1.40493970e-10 4.44378601e-09 5.74771018e-10
 2.23305966e-10 1.52099782e-10 1.16389597e-10 8.49341943e-01
 2.19502214e-09 5.23239400e-10 1.98817054e-10 1.08462603e-10]"
35,17.5,0.815880383290082,"[1.50658038e-01 3.13978974e-10 1.87666099e-10 5.75647142e-11
 4.92245349e-11 2.54645818e-09 3.12736761e-10 2.07575785e-10
 5.87143958e-11 5.00991782e-11 1.47374179e-09 2.04183960e-10
 7.74221764e-11 5.29542628e-11 4.05196133e-11 8.49341955e-01
 7.52402760e-10 1.84272494e-10 7.03006310e-11 3.80374095e-11]"
36,18.0,0.8158802409818077,"[1.50658020e-01 8.94485895e-09 5.55249446e-09 1.61010014e-09
 1.64144068e-09 5.23248025e-08 9.07958696e-09 6.18039821e-09
 1.54431500e-09 1.59251321e-09 3.87622648e-08 6.09537663e-09
 2.51963138e-09 1.68261549e-09 1.36969124e-09 8.49341813e-01
 1.96796570e-08 5.52491618e-09 2.05861014e-09 1.13498613e-09]"
37,18.5,0.8158802056128502,"[1.50658019e-01 1.08315608e-08 6.63273574e-09 2.28261932e-09
 1.56140988e-09 6.73276729e-08 1.07785220e-08 7.24187394e-09
 1.80357564e-09 2.18133293e-09 4.52059255e-08 6.95236276e-09
 2.85705099e-09 2.06581852e-09 1.65111935e-09 8.49341777e-01
 2.37393384e-08 6.38867450e-09 2.55771540e-09 1.43296862e-09]"
38,19.0,0.8158802749062749,"[1.50658038e-01 5.56030014e-09 3.34646592e-09 1.09719398e-09
 7.38600283e-10 4.35293276e-08 5.70392952e-09 3.70666565e-09
 8.97769110e-10 1.04624085e-09 2.47844997e-08 3.45264484e-09
 1.38881178e-09 1.00011490e-09 8.31773236e-10 8.49341847e-01
 1.27155381e-08 3.11320018e-09 1.32168916e-09 7.00255624e-10]"
39,19.5,0.8158802136588109,"[1.50657985e-01 1.27445885e-08 7.89122024e-09 2.43742290e-09
 2.35196376e-09 7.09814645e-08 1.33937532e-08 8.96645499e-09
 2.41237015e-09 2.12978885e-09 4.97965813e-08 8.25861667e-09
 3.67167495e-09 2.48563065e-09 2.33546634e-09 8.49341785e-01
 2.69936174e-08 7.54643815e-09 3.19504259e-09 1.94695326e-09]"
40,20.0,0.8158803768839084,"[1.50658033e-01 1.05910592e-09 6.62521972e-10 1.98971803e-10
 1.96112046e-10 5.69508864e-09 1.09348306e-09 7.36951138e-10
 2.19537229e-10 1.85382200e-10 4.03879195e-09 6.88285442e-10
 2.92152807e-10 1.99258633e-10 1.94918614e-10 8.49341949e-01
 2.23643615e-09 6.32628285e-10 2.59448919e-10 1.64884694e-10]"
